Run,Months,Total_Invested_USD,Final_Portfolio_USD,Profit_USD,Multiple,CAGR,Annual_Vol,Sharpe,Sortino,Max_Drawdown,Calmar,Win_Rate,Avg_Monthly_Turnover,Max_Underwater_Months,Final_NAV_Multiple,Strategy,Mode,Display
K=3 / K=4 / K=5 (same),437,4370000.0,50767365.26791425,46397365.26791425,11.61724605673095,0.11170766228882512,0.14726321348852828,0.7585578206707209,1.3119123868685127,-0.5094876777779151,0.2192548851741186,0.6613272311212814,0.002288329519450801,73,47.29598918125296,buy_and_hold,baseline,B0 — SPXT buy & hold
K=4 hard,437,4370000.0,20208764.860967427,15838764.860967427,4.624431318299182,0.07707845705886807,0.09211547460128854,0.8367590504472077,1.4937132805162805,-0.25404762616427967,0.30340160316642895,0.6338672768878718,0.3462242562929062,52,14.939656590610262,defensive_safe_haven,hard,K=4 hard | defensive safe haven (hard)
K=5 hard,437,4370000.0,20432010.911099978,16062010.911099978,4.675517370961093,0.08044028662386782,0.09422375409747134,0.8537155772912106,1.4677536284442763,-0.22505802336382685,0.3574202128925159,0.6590389016018307,0.22517162471395882,42,16.735088793178775,defensive_safe_haven,hard,K=5 hard | defensive safe haven (hard)
B0 — SPXT B&H,437,4370000.0,50767365.26791425,46397365.26791425,11.61724605673095,0.11170766228882512,0.14726321348852828,0.7585578206707209,1.3119123868685127,-0.5094876777779151,0.2192548851741186,0.6613272311212814,0.002288329519450801,73,47.29598918125296,defensive_safe_haven,soft,B0 — SPXT B&H | defensive safe haven (soft)
B1 — EW3 B&H,437,4370000.0,16947973.111061007,12577973.111061007,3.878254716489933,0.07051687399269646,0.07828330335307919,0.9007907302358716,1.5234827946686567,-0.33132289355604483,0.2128342935673662,0.6636155606407322,0.002288329519450801,39,11.95906572753724,defensive_safe_haven,soft,B1 — EW3 B&H | defensive safe haven (soft)
K=3 soft,437,4370000.0,23069810.067842264,18699810.067842264,5.279132738636673,0.0849590683150252,0.10849403920121438,0.7830759085064486,1.379137736800793,-0.35663909525229487,0.23822141051284115,0.6384439359267735,0.22936396396608347,71,19.482124372470707,defensive_safe_haven,soft,K=3 soft | defensive safe haven (soft)
K=4 soft,437,4370000.0,20487944.270117506,16117944.270117506,4.6883167666172785,0.07772161334480443,0.0896786114467246,0.8666683403207747,1.5412448614547456,-0.2595158903784117,0.2994869147761051,0.6521739130434783,0.2833653579931543,74,15.267985760892318,defensive_safe_haven,soft,K=4 soft | defensive safe haven (soft)
K=5 soft,437,4370000.0,22994487.201133434,18624487.201133434,5.261896384698726,0.08292030220489699,0.0839583858121795,0.9876357364753918,1.7423168774301023,-0.2014685770034944,0.4115793313190412,0.6636155606407322,0.2997017145785622,39,18.19236056503566,defensive_safe_haven,soft,K=5 soft | defensive safe haven (soft)
B0 — SPXT B&H,437,4370000.0,50767365.26791425,46397365.26791425,11.61724605673095,0.11170766228882512,0.14726321348852828,0.7585578206707209,1.3119123868685127,-0.5094876777779151,0.2192548851741186,0.6613272311212814,0.002288329519450801,73,47.29598918125296,crisis_cap_inverse_vol,hard,B0 — SPXT B&H | crisis cap inverse vol (hard)
B1 — EW3 B&H,437,4370000.0,16947973.111061007,12577973.111061007,3.878254716489933,0.07051687399269646,0.07828330335307919,0.9007907302358716,1.5234827946686567,-0.33132289355604483,0.2128342935673662,0.6636155606407322,0.002288329519450801,39,11.95906572753724,crisis_cap_inverse_vol,hard,B1 — EW3 B&H | crisis cap inverse vol (hard)
K=3 hard,437,4370000.0,16317406.319310654,11947406.319310654,3.7339602561351612,0.06770817565260412,0.10546007231349351,0.642026637828703,1.1031922953146618,-0.37366281093123765,0.1812012693579612,0.6567505720823799,0.11797893420333974,208,10.867951521374794,crisis_cap_inverse_vol,hard,K=3 hard | crisis cap inverse vol (hard)
