,Prob_Regime0,Prob_Regime1,Prob_Regime2,Regime_Candidate,Regime,Regime_Name
1994-06-30,0.00016209842251215458,2.04636466394706e-13,0.9998379015772833,2,2,Growth
1994-07-31,8.104921125607728e-05,1.0231823319735299e-13,0.9999189507886416,2,2,Growth
1994-08-31,4.052460562803864e-05,5.1159116598676494e-14,0.9999594753943208,2,2,Growth
1994-09-30,2.026230281401932e-05,2.5579558299338247e-14,0.9999797376971604,2,2,Growth
1994-10-31,1.0131151407009655e-05,7.450663788196983e-13,0.9999898688478479,2,2,Growth
1994-11-30,5.06557570350483e-06,9.792946453358826e-14,0.9999949344241986,2,2,Growth
1994-12-31,2.532787851752415e-06,4.896473226679413e-14,0.9999974672120993,2,2,Growth
1995-01-31,1.2663939258762075e-06,2.4482366133397064e-14,0.9999987336060496,2,2,Growth
1995-02-28,6.331969629381037e-07,1.2241183066698532e-14,0.9999993668030248,2,2,Growth
1995-03-31,3.165984814690519e-07,6.120591533349267e-15,0.9999996834015125,2,2,Growth
1995-04-30,1.5829924073452593e-07,3.060295766674633e-15,0.9999998417007562,2,2,Growth
1995-05-31,7.914962036726297e-08,1.5301478833373165e-15,0.9999999208503781,2,2,Growth
1995-06-30,3.957481018363148e-08,7.6507394166865825e-16,0.999999960425189,2,2,Growth
1995-07-31,1.978740509181574e-08,3.8253697083432913e-16,0.9999999802125945,2,2,Growth
1995-08-31,9.89370254590787e-09,1.9126848541716456e-16,0.9999999901062973,2,2,Growth
1995-09-30,4.946851272953935e-09,9.563424270858228e-17,0.9999999950531486,2,2,Growth
1995-10-31,2.4734256364769677e-09,4.781712135429114e-17,0.9999999975265743,2,2,Growth
1995-11-30,1.2367128182384838e-09,2.390856067714557e-17,0.9999999987632872,2,2,Growth
1995-12-31,6.18356409119242e-10,1.1954280338572787e-17,0.9999999993816436,2,2,Growth
1996-01-31,3.0917827606093196e-10,5.9771401692863926e-18,0.9999999996908218,2,2,Growth
1996-02-29,1.5458911121747436e-10,2.9885700846431963e-18,0.9999999998454109,2,2,Growth
1996-03-31,0.30102136455816964,1.4942850423215981e-18,0.6989786354418305,2,2,Growth
1996-04-30,0.037627670598756664,7.471425211607991e-19,0.9623723294012434,2,2,Growth
1996-05-31,0.018813835299378332,3.7357126058039954e-19,0.9811861647006217,2,2,Growth
1996-06-30,0.009406917649689166,1.8678563029019977e-19,0.9905930823503108,2,2,Growth
1996-07-31,0.004703458824844583,9.339281514509988e-20,0.9952965411751554,2,2,Growth
1996-08-31,0.0023517294124222915,4.669640757254994e-20,0.9976482705875778,2,2,Growth
1996-09-30,0.0011758647062111458,2.334820378627497e-20,0.9988241352937889,2,2,Growth
1996-10-31,0.0005879323531055729,1.1674101893137486e-20,0.9994120676468945,2,2,Growth
1996-11-30,0.0002939661765529002,4.868203337560894e-20,0.999706033823447,2,2,Growth
1996-12-31,0.00014698308827640745,8.274148276914399e-21,0.9998530169117237,2,2,Growth
1997-01-31,7.349154413820372e-05,4.1370741384571996e-21,0.9999265084558618,2,2,Growth
1997-02-28,3.674577206910186e-05,2.0685370692285998e-21,0.9999632542279309,2,2,Growth
1997-03-31,1.837288603455093e-05,1.0342685346142999e-21,0.9999816271139654,2,2,Growth
1997-04-30,9.186443017275466e-06,5.1713426730714995e-22,0.9999908135569827,2,2,Growth
1997-05-31,4.593221508637734e-06,2.58567133653575e-22,0.9999954067784914,2,2,Growth
1997-06-30,2.2966107543188664e-06,1.2928356682678749e-22,0.9999977033892457,2,2,Growth
1997-07-31,1.1483053771594334e-06,6.464178341339376e-23,0.9999988516946229,2,2,Growth
1997-08-31,5.741526885797166e-07,3.232089170669687e-23,0.9999994258473114,2,2,Growth
1997-09-30,2.870763442898583e-07,1.6160445853348436e-23,0.9999997129236557,2,2,Growth
1997-10-31,1.4353817214492915e-07,8.080222926674218e-24,0.9999998564618279,2,2,Growth
1997-11-30,7.176908607246458e-08,4.040111463337109e-24,0.999999928230914,2,2,Growth
1997-12-31,3.588454303623229e-08,2.0200557316685545e-24,0.999999964115457,2,2,Growth
1998-01-31,1.7942271518116144e-08,1.0100278658342773e-24,0.9999999820577286,2,2,Growth
1998-02-28,1.333495587763149e-08,5.05013932917139e-25,0.9999999866650441,2,2,Growth
1998-03-31,5.031045394350713e-09,2.5250696645856936e-25,0.9999999949689546,2,2,Growth
1998-04-30,2.515522697175356e-09,1.2625348322928466e-25,0.9999999974844773,2,2,Growth
1998-05-31,1.257761348587678e-09,6.312674161464233e-26,0.9999999987422387,2,2,Growth
1998-06-30,6.28880674293839e-10,3.1563370807321164e-26,0.9999999993711193,2,2,Growth
1998-07-31,0.7999999247950283,7.551941208563023e-08,0.19999999968555954,0,0,Defensive
1998-08-31,0.09999999071729374,9.439926510703785e-09,0.8999999998427798,2,2,Growth
1998-09-30,0.04999999535864687,4.719963255351893e-09,0.94999999992139,2,2,Growth
1998-10-31,0.024999997679323434,2.3599816276759463e-09,0.974999999960695,2,2,Growth
1998-11-30,0.012499998839661717,1.1799908138379731e-09,0.9874999999803474,2,2,Growth
1998-12-31,0.0062499994198308585,5.899954069189866e-10,0.9937499999901738,2,2,Growth
1999-01-31,0.0031249997099154292,2.949977034594933e-10,0.9968749999950869,2,2,Growth
1999-02-28,0.0015624998549577146,1.4749885172974664e-10,0.9984374999975434,2,2,Growth
1999-03-31,0.0007812499274788573,7.374942586487332e-11,0.9992187499987717,2,2,Growth
1999-04-30,0.00039062496373942865,3.687471293243666e-11,0.9996093749993858,2,2,Growth
1999-05-31,0.00019531248186971433,1.843735646621833e-11,0.999804687499693,2,2,Growth
1999-06-30,9.765624093485716e-05,9.218678233109165e-12,0.9999023437498464,2,2,Growth
1999-07-31,4.882812046742858e-05,4.609339116554583e-12,0.9999511718749232,2,2,Growth
1999-08-31,2.441406023371429e-05,2.3046695582772913e-12,0.9999755859374616,2,2,Growth
1999-09-30,1.2207030116857145e-05,1.1523347791386457e-12,0.9999877929687309,2,2,Growth
1999-10-31,6.103515058428573e-06,5.761673895693228e-13,0.9999938964843654,2,2,Growth
1999-11-30,3.0517575292142864e-06,2.880836947846614e-13,0.9999969482421827,2,2,Growth
1999-12-31,1.5258787646071432e-06,1.440418473923307e-13,0.9999984741210913,2,2,Growth
2000-01-31,7.629393823035716e-07,7.202092369616535e-14,0.9999992370605457,2,2,Growth
2000-02-29,3.814696911517858e-07,3.6010461848082677e-14,0.9999996185302729,2,2,Growth
2000-03-31,1.907348455758929e-07,1.8005230924041338e-14,0.9999998092651364,2,2,Growth
2000-04-30,9.536742278794645e-08,9.002615462020669e-15,0.9999999046325682,2,2,Growth
2000-05-31,4.7683711393973224e-08,4.5013077310103346e-15,0.9999999523162841,2,2,Growth
2000-06-30,2.3841855696986612e-08,2.2506538655051673e-15,0.9999999761581421,2,2,Growth
2000-07-31,1.1920927848493306e-08,1.1253269327525836e-15,0.9999999880790711,2,2,Growth
2000-08-31,5.960463924246653e-09,5.626634663762918e-16,0.9999999940395355,2,2,Growth
2000-09-30,2.9802319621233265e-09,2.813317331881459e-16,0.9999999970197677,2,2,Growth
2000-10-31,1.4901159810616633e-09,1.4066586659407296e-16,0.9999999985098839,2,2,Growth
2000-11-30,7.450579905308316e-10,7.033293329703648e-17,0.999999999254942,2,2,Growth
2000-12-31,3.725289952654158e-10,3.516646664851824e-17,0.999999999627471,2,2,Growth
2001-01-31,1.862644976327079e-10,1.758323332425912e-17,0.9999999998137354,2,2,Growth
2001-02-28,9.313224881635395e-11,8.79161666212956e-18,0.9999999999068677,2,2,Growth
2001-03-31,4.6566124408177016e-11,1.2158097284967264e-12,0.9999999999522181,2,2,Growth
2001-04-30,2.3283861898659795e-11,1.5197786449021473e-13,0.9999999999765642,2,2,Growth
2001-05-31,1.164163106386566e-11,7.598893224510742e-14,0.9999999999882825,2,2,Growth
2001-06-30,5.82081553193283e-12,3.799446612255371e-14,0.9999999999941412,2,2,Growth
2001-07-31,2.910407765966415e-12,1.8997233061276854e-14,0.9999999999970706,2,2,Growth
2001-08-31,1.4552038829832074e-12,9.498616530638427e-15,0.9999999999985353,2,2,Growth
2001-09-30,7.276019414916037e-13,4.7493082653192135e-15,0.9999999999992677,2,2,Growth
2001-10-31,3.6380097074580186e-13,2.3746541326596068e-15,0.9999999999996338,2,2,Growth
2001-11-30,0.8000000000001819,1.1873270663298034e-15,0.1999999999998169,0,0,Defensive
2001-12-31,0.10000000000009096,5.936635331649017e-16,0.8999999999999084,2,2,Growth
2002-01-31,0.05000000000004548,2.9683176658245085e-16,0.9499999999999542,2,2,Growth
2002-02-28,0.07983411216775824,1.4841588329122542e-16,0.9201658878322416,2,2,Growth
2002-03-31,0.019364343894778386,7.420794164561271e-17,0.9806356561052216,2,2,Growth
2002-04-30,0.009678391994714163,3.7103970822806356e-17,0.9903216080052858,2,2,Growth
2002-05-31,0.004839195997357082,1.8551985411403178e-17,0.995160804002643,2,2,Growth
2002-06-30,0.8024195979986786,9.275992705701589e-18,0.1975804020013215,0,0,Defensive
2002-07-31,0.10121060504572953,4.6379963528507945e-18,0.8987893949542705,2,2,Growth
2002-08-31,0.05060500026417619,2.318998176425399e-18,0.9493949997358239,2,2,Growth
2002-09-30,0.02530250012882268,1.1594990882126988e-18,0.9746974998711774,2,2,Growth
2002-10-31,0.07979541115320553,5.797495441063492e-19,0.9202045888467945,2,2,Growth
2002-11-30,0.814718645168305,2.8987477205317465e-19,0.18528135483169508,0,0,Defensive
2002-12-31,0.10793688086601919,0.799422441718133,0.09264067741584768,1,1,Inflation
2003-01-31,0.8537518560721665,0.09992780521476598,0.04632033871306754,0,0,Defensive
2003-02-28,0.12687793270412517,0.8499618979412701,0.023160169354604875,1,1,Inflation
2003-03-31,0.06343821883772734,0.12498170072042752,0.8115800804418453,2,2,Growth
2003-04-30,0.8317191078305672,0.06249085036021376,0.10579004180921908,0,0,Defensive
2003-05-31,0.11585955391528364,0.03124542518010688,0.8528950209046096,2,2,Growth
2003-06-30,0.8246207476818067,0.04893174186588843,0.1264475104523049,0,0,Defensive
2003-07-31,0.12480125981934143,0.01197498495450609,0.8632237552261525,2,2,Growth
2003-08-31,0.06240063159364031,0.005987492477253041,0.9316118759291065,2,2,Growth
2003-09-30,0.031200315165331557,0.002993746238626522,0.9658059385960419,2,2,Growth
2003-10-31,0.01560015758266578,0.0014968731193132612,0.982902969298021,2,2,Growth
2003-11-30,0.8078000787913329,0.0007484365596566305,0.1914514846490105,0,0,Defensive
2003-12-31,0.40277700540150624,0.0003742182798290045,0.5968487763186648,2,2,Growth
2004-01-31,0.08956419832889047,0.00018710913991424387,0.9102486925311953,2,2,Growth
2004-02-29,0.04737853963852911,0.7974016548907507,0.1552198054707202,1,1,Inflation
2004-03-31,0.041655825518487864,0.09974772846576437,0.8585964460157478,2,2,Growth
2004-04-30,0.013711905979646766,0.8498598247426246,0.13642826927772858,1,1,Inflation
2004-05-31,0.007874806588022164,0.1560079071668941,0.8361172862450836,2,2,Growth
2004-06-30,0.0035897437004864473,0.866245622733502,0.13016463356601146,1,1,Inflation
2004-07-31,0.0017819679105682597,0.9331618424173518,0.06505618967208004,1,1,Inflation
2004-08-31,0.0009382342358882653,0.966533538638199,0.032528227125912815,1,1,Inflation
2004-09-30,0.8004513982627177,0.18328453778302828,0.016264063954254112,0,0,Defensive
2004-10-31,0.23899857964107346,0.09164226889151413,0.6693591514674124,2,2,Growth
2004-11-30,0.06746181865058527,0.8458185711496685,0.08671961019974628,1,1,Inflation
2004-12-31,0.033758202869657875,0.922882068540404,0.043359728589938064,1,1,Inflation
2005-01-31,0.8168685346183369,0.16145160112162582,0.02167986426003729,0,0,Defensive
2005-02-28,0.10843426730926639,0.8807258005607059,0.010839932130027818,1,1,Inflation
2005-03-31,0.05421775220400233,0.2870665586597929,0.6587156891362048,2,2,Growth
2005-04-30,0.027108644145973963,0.8885194074376216,0.08437194841640451,1,1,Inflation
2005-05-31,0.013554322072987046,0.9442597037188107,0.04218597420820225,1,1,Inflation
2005-06-30,0.8067771610364936,0.17212985185940538,0.021092987104101124,0,0,Defensive
2005-07-31,0.8962721469194985,0.08606492592970265,0.017662927150798806,0,0,Defensive
2005-08-31,0.9508047318778974,0.043032462964851324,0.006162805157251317,0,0,Defensive
2005-09-30,0.1754023675069672,0.8215162314824255,0.0030814010106072188,1,1,Inflation
2005-10-31,0.08770127125022847,0.9107580282444678,0.0015407005053036098,1,1,Inflation
2005-11-30,0.043850602813834884,0.9553790469137624,0.0007703502724027448,1,1,Inflation
2005-12-31,0.021925301406917452,0.9776895234642876,0.0003851751287947699,1,1,Inflation
2006-01-31,0.8097237635876994,0.19008364166416342,0.00019259474813721508,0,0,Defensive
2006-02-28,0.1319777065545127,0.8679259987653211,9.629468016617125e-05,1,1,Inflation
2006-03-31,0.05599463749266141,0.9439572151672554,4.814734008308563e-05,1,1,Inflation
2006-04-30,0.027997318746330713,0.9719786075836278,2.4073670041542823e-05,1,1,Inflation
2006-05-31,0.013998659373165356,0.9859893037918139,1.2036835020771412e-05,1,1,Inflation
2006-06-30,0.006999329686582678,0.992994651895907,6.018417510385706e-06,1,1,Inflation
2006-07-31,0.003499664843291339,0.9964973259479535,3.009208755192853e-06,1,1,Inflation
2006-08-31,0.0017498324216456695,0.9982486629739767,1.5046043775964265e-06,1,1,Inflation
2006-09-30,0.0008749162108228348,0.9991243314869884,7.523021887982132e-07,1,1,Inflation
2006-10-31,0.0004374581054114174,0.9995621657434942,3.761510943991066e-07,1,1,Inflation
2006-11-30,0.0002187290527057087,0.999781082871747,1.880755471995533e-07,1,1,Inflation
2006-12-31,0.8001093645263528,0.19989054143587356,9.403777359977665e-08,0,0,Defensive
2007-01-31,0.875531488999804,0.09994527071793671,0.02452324028225931,0,0,Defensive
2007-02-28,0.8533004360113374,0.04997263535896838,0.09672692862969424,0,0,Defensive
2007-03-31,0.9617732827415421,0.02498631767948419,0.013240399578973643,0,0,Defensive
2007-04-30,0.9808866402456857,0.012493158839742089,0.006620200914572179,0,0,Defensive
2007-05-31,0.9904433205447498,0.006246579419871047,0.0033101000353790806,0,0,Defensive
2007-06-30,0.995221660272375,0.0031232897099355244,0.0016550500176895407,0,0,Defensive
2007-07-31,0.9449613606410424,0.00156164485496776,0.05347699450398975,0,0,Defensive
