,Prob_Regime0,Prob_Regime1,Prob_Regime2,Prob_Regime3,Regime_Candidate,Regime,Regime_Name
1996-10-31,1.4902752809575768e-09,0.0015386803377287555,0.9984560311007757,5.287071220313576e-06,2,2,Steady State
1996-11-30,7.45137640478788e-10,0.0007693401688643773,0.9992280155502709,2.6435357272005303e-06,2,2,Steady State
1996-12-31,3.7256882023939414e-10,0.0003846700844321888,0.9996140077751794,1.3217678197088618e-06,2,2,Steady State
1997-01-31,1.8628441011969707e-10,0.0001923350422160944,0.9998070038875897,6.608839098544309e-07,2,2,Steady State
1997-02-28,9.314220505984853e-11,9.61675211080472e-05,0.9999035019437948,3.3044195492721545e-07,2,2,Steady State
1997-03-31,4.657110252992427e-11,4.80837605540236e-05,0.9999517509718974,1.6522097746360772e-07,2,2,Steady State
1997-04-30,2.3285551264962134e-11,2.40418802770118e-05,0.9999758754859487,8.261048873180386e-08,2,2,Steady State
1997-05-31,1.1642775632481067e-11,1.20209401385059e-05,0.9999879377429743,4.130524436590193e-08,2,2,Steady State
1997-06-30,5.821387816240533e-12,6.01047006925295e-06,0.9999939688714872,2.0652622182950966e-08,2,2,Steady State
1997-07-31,2.9106939081202667e-12,3.005235034626475e-06,0.9999969844357436,1.0326311091475483e-08,2,2,Steady State
1997-08-31,1.4553469540601333e-12,1.5026175173132376e-06,0.9999984922178717,5.163155545737741e-09,2,2,Steady State
1997-09-30,7.276734770300668e-13,7.513087586566189e-07,0.999999246108936,2.581577772868871e-09,2,2,Steady State
1997-10-31,3.6383673851503334e-13,3.756543793283094e-07,0.999999623054468,1.2907888864344353e-09,2,2,Steady State
1997-11-30,1.819183692575167e-13,1.8782718966415472e-07,0.999999811527234,6.453944432172178e-10,2,2,Steady State
1997-12-31,9.095918462875833e-14,9.391359483207735e-08,0.999999905763617,3.2269722160860884e-10,2,2,Steady State
1998-01-31,4.547959231437917e-14,4.6956797416038675e-08,0.9999999528818085,1.6134861080430442e-10,2,2,Steady State
1998-02-28,2.273979615718959e-14,4.932553822362843e-08,0.9999999505937647,8.067430540215222e-11,2,2,Steady State
1998-03-31,1.1369898078594792e-14,1.4970091793460804e-08,0.9999999849895597,4.0337152701076105e-11,2,2,Steady State
1998-04-30,5.684949039297397e-15,7.485045896730403e-09,0.9999999924947799,2.0168576350538056e-11,2,2,Steady State
1998-05-31,2.842474519648698e-15,3.742522948365201e-09,0.9999999962473899,1.0084288175269026e-11,2,2,Steady State
1998-06-30,1.421237259824349e-15,1.8712614741826004e-09,0.9999999981236949,5.042144087634513e-12,2,2,Steady State
1998-07-31,7.106186299121755e-16,2.3674883770433135e-08,0.9999999763225944,2.5210720438172598e-12,2,2,Steady State
1998-08-31,3.5530931495608734e-16,3.3102219977133766e-09,0.9999999966885171,1.2605360219086285e-12,2,2,Steady State
1998-09-30,1.7765465747804365e-16,1.6551109988566881e-09,0.9999999983442586,6.302680109543142e-13,2,2,Steady State
1998-10-31,8.882732873902182e-17,8.275554994283441e-10,0.9999999991721293,3.151340054771571e-13,2,2,Steady State
1998-11-30,4.4413664369510905e-17,4.13777749714172e-10,0.9999999995860647,1.5756700273857853e-13,2,2,Steady State
1998-12-31,2.2206832184755453e-17,2.06888874857086e-10,0.9999999997930323,7.878350136928927e-14,2,2,Steady State
1999-01-31,1.1103416092377726e-17,1.03444437428543e-10,0.9999999998965161,3.9391750684644633e-14,2,2,Steady State
1999-02-28,5.551708046188864e-18,5.1722218714271504e-11,0.9999999999482582,1.969587534232232e-14,2,2,Steady State
1999-03-31,2.7758540230944316e-18,2.586110935713575e-11,0.999999999974129,9.847937671176483e-15,2,2,Steady State
1999-04-30,1.3879270115472158e-18,1.2930554678567874e-11,0.9999999999870646,4.9239688355824945e-15,2,2,Steady State
1999-05-31,6.939635057736079e-19,6.465277339283937e-12,0.9999999999935323,2.4619844177912473e-15,2,2,Steady State
1999-06-30,3.4698175288680395e-19,3.2326386696419686e-12,0.9999999999967661,1.2309922091904389e-15,2,2,Steady State
1999-07-31,1.7349087644340197e-19,1.6163193348209843e-12,0.9999999999983831,6.154961044846637e-16,2,2,Steady State
1999-08-31,8.674543822170099e-20,8.081596674104921e-13,0.9999999999991915,3.0774805224233187e-16,2,2,Steady State
1999-09-30,4.3372719110850494e-20,4.0407983370524607e-13,0.9999999999995958,1.5387402612116594e-16,2,2,Steady State
1999-10-31,2.1686359555425247e-20,2.0203991685262304e-13,0.9999999999997979,7.693701306058297e-17,2,2,Steady State
1999-11-30,1.0843179777712623e-20,1.0101995842631152e-13,0.999999999999899,3.865851722332289e-17,2,2,Steady State
1999-12-31,5.421589888856312e-21,5.050997921315576e-14,0.9999999999999495,1.9258004601774667e-17,2,2,Steady State
2000-01-31,2.7107949444281562e-21,2.5254989606577883e-14,0.9999999999999748,9.629002300887335e-18,2,2,Steady State
2000-02-29,1.355397472214078e-21,1.262749480328894e-14,0.9999999999999873,4.814501150443667e-18,2,2,Steady State
