iteration,seed,active_regimes,block_size,max_components,weight_threshold,alpha_prior,master_seed
1,693650678,5,120,6,0.05,0.1,123
2,2973253328,5,120,6,0.05,0.1,123
3,387799215,3,120,6,0.05,0.1,123
4,2723177262,4,120,6,0.05,0.1,123
5,1950554525,5,120,6,0.05,0.1,123
