regime_id,regime_name,w_SPXT,w_LUATTRUU,w_LF98TRUU,w_BCOMTR,w_MXEF,w_BCIT1T,w_DXY,w_NEIXCTAT,w_M1WOSC,w_M1WO000V,w_M1WOMOM,w_M1WOQU,w_M1WOMVOL,w_DBFXCARU
0,Bear,0.0,1.6056590386585082e-15,3.814761043499819e-16,0.23983974326493235,0.0,0.09550523974355041,0.664655016991513,1.3856064009870359e-15,0.0,0.0,0.0,0.0,0.0,8.656188864063285e-16
1,Neutral,1.334029215132437e-15,0.13323326105174654,1.9260304946055977e-15,0.12519935813646066,0.031248065757004617,0.0,1.0551790338140664e-15,0.11200380231151218,2.8410374613012886e-15,0.0,0.03662077658429986,5.075638546829807e-15,1.4492202961239827e-15,0.5616947361589626
2,Bull,4.564201428694658e-17,0.18263738629454424,2.4115370148413662e-14,0.04177311231963546,1.9603290936108942e-16,0.0006762071896137731,0.06369016207111777,1.9604480348684044e-14,1.342332923505628e-16,4.299591476499842e-14,0.002721158685580441,6.095852018369325e-17,1.627296479105373e-14,0.7085019734394049
