,Prob_Regime0,Prob_Regime1,Prob_Regime2,Prob_Regime3,Prob_Regime4,Regime_Candidate,Regime,Regime_Name
1992-01-31,0.047559077515463906,0.087335566024999,0.07214966476315879,0.13067637774223853,0.6622793139541399,4,4,Bull Market
1992-02-29,0.03307825146438086,0.06986845497501443,0.057719731821104764,0.10454108133028349,0.7347924804092165,4,4,Bull Market
1992-03-31,0.026479563005643064,0.5197702715963254,0.046175785450865425,0.08363286506276571,0.3239415148844005,1,4,Bull Market
1992-04-30,0.021173999687308417,0.1518870484363475,0.4483139276034106,0.06690656815715536,0.3117184561157782,2,4,Bull Market
1992-05-31,0.016939199746677944,0.12150963874970737,0.1262265482723618,0.053526435094550254,0.6817981781367026,4,4,Bull Market
1992-06-30,0.015308521040708586,0.5304943792682907,0.10005232948522642,0.04282038699086267,0.31132438321491174,1,4,Bull Market
1992-07-31,0.011247052675175291,0.1778703300888972,0.5095120261649243,0.03425768561090662,0.2671129054600967,2,4,Bull Market
1992-08-31,0.008997684912565132,0.17281539948426464,0.1632559077417235,0.027405365581847477,0.6275256422795993,4,4,Bull Market
1992-09-30,0.007198123594383211,0.1208970621175851,0.13060472619419655,0.021924292467592078,0.7193757956262431,4,4,Bull Market
1992-10-31,0.005758563283488376,0.09677711071873757,0.10448378095489208,0.017539433973417364,0.7754411110694646,4,4,Bull Market
1992-11-30,0.004606813981414825,0.07738491849274004,0.47492775181202485,0.014032408224016185,0.4290481074898041,2,4,Bull Market
1992-12-31,0.003685451184721572,0.06190793479603026,0.1575497630939711,0.011225438481068575,0.7656314124442085,4,4,Bull Market
1993-01-31,0.002948360949614247,0.04952674465421881,0.12588793133992082,0.008980349829813774,0.8126566132264322,4,4,Bull Market
1993-02-28,0.0023586887590453243,0.039621170150870265,0.10071036366236867,0.007184281434430781,0.850125495993285,4,4,Bull Market
1993-03-31,0.0018869510071684674,0.031696936004900055,0.38946921333212137,0.008367008157495023,0.568579891498315,4,4,Bull Market
1993-04-30,0.0015095746764821514,0.02535810064865975,0.13582139137427615,0.005203156038432681,0.8321077772621492,4,4,Bull Market
1993-05-31,0.0012076518491625173,0.020286166538556128,0.1849253518603694,0.0041625601277081835,0.7894182696242037,4,4,Bull Market
1993-06-30,0.0009661214937022991,0.016257068322312204,0.1045462835730907,0.0033300272311000976,0.8749004993797947,4,4,Bull Market
1993-07-31,0.0007728971869061645,0.012989647404680572,0.08363703587602249,0.0026640218817533725,0.8999363976506375,4,4,Bull Market
1993-08-31,0.0006183177494546028,0.01039171755745411,0.5268498958366161,0.006190944183581181,0.455949124672894,2,4,Bull Market
1993-09-30,0.0004946542125117017,0.00831475885188271,0.1597897617596586,0.002642910826549497,0.8287579143493975,4,4,Bull Market
1993-10-31,0.00039572336264266287,0.006651019174689946,0.5900314480760116,0.0021182683885736108,0.40080354099808224,2,4,Bull Market
1993-11-30,0.007495330358048131,0.297690570482161,0.2090495019769047,0.0016923731417256887,0.4840722240411605,4,4,Bull Market
1993-12-31,0.0019118021305449331,0.07180414742539262,0.35413910748580457,0.2784457176659043,0.2936992252923536,2,4,Bull Market
1994-01-31,0.0015294417044360645,0.05744331794031407,0.6408763456382376,0.06515182843558902,0.23499906628142314,2,2,Steady State
1994-02-28,0.0012238460369506958,0.5099466245849159,0.2487554504407076,0.05209247707879572,0.18798160185863014,1,2,Steady State
1994-03-31,0.0599789124553332,0.5489618661816648,0.1990043603525661,0.04167398166303658,0.1503808793473993,1,1,Inflation
1994-04-30,0.014414168564175444,0.2087384597344635,0.1926583982299004,0.03333918647054623,0.5508497870009144,4,1,Inflation
1994-05-31,0.011531331816099897,0.1670005177980613,0.13509203585310428,0.026671348530881503,0.659704766001853,4,4,Bull Market
