iteration,seed,active_regimes,block_size,max_components,weight_threshold,alpha_prior,master_seed
139,1029099675,7,120,10,0.05,0.1,42
140,3614112238,2,120,10,0.05,0.1,42
141,1832258133,2,120,10,0.05,0.1,42
142,2623861271,5,120,10,0.05,0.1,42
143,2265963746,2,120,10,0.05,0.1,42
144,2140559458,7,120,10,0.05,0.1,42
145,63491627,7,120,10,0.05,0.1,42
146,2176820428,7,120,10,0.05,0.1,42
147,3695256972,7,120,10,0.05,0.1,42
148,1787752426,6,120,10,0.05,0.1,42
149,1746151031,3,120,10,0.05,0.1,42
150,3685529759,7,120,10,0.05,0.1,42
151,2543563894,9,120,10,0.05,0.1,42
152,3282743166,4,120,10,0.05,0.1,42
153,360661404,6,120,10,0.05,0.1,42
154,3780885352,4,120,10,0.05,0.1,42
155,2278280582,5,120,10,0.05,0.1,42
156,2605225996,6,120,10,0.05,0.1,42
157,646629353,3,120,10,0.05,0.1,42
158,1817831722,7,120,10,0.05,0.1,42
159,4042771610,4,120,10,0.05,0.1,42
160,621708730,4,120,10,0.05,0.1,42
161,803399681,6,120,10,0.05,0.1,42
162,2315342962,6,120,10,0.05,0.1,42
163,1085739770,8,120,10,0.05,0.1,42
164,3946585624,6,120,10,0.05,0.1,42
165,2142865370,3,120,10,0.05,0.1,42
166,1960193765,5,120,10,0.05,0.1,42
167,471275642,5,120,10,0.05,0.1,42
168,2617092969,6,120,10,0.05,0.1,42
169,2376696650,5,120,10,0.05,0.1,42
170,3616425149,8,120,10,0.05,0.1,42
171,26493785,3,120,10,0.05,0.1,42
172,1426331136,4,120,10,0.05,0.1,42
173,561806879,5,120,10,0.05,0.1,42
174,273752354,5,120,10,0.05,0.1,42
175,2975436212,6,120,10,0.05,0.1,42
176,305374791,8,120,10,0.05,0.1,42
177,1138230843,4,120,10,0.05,0.1,42
178,4060217457,6,120,10,0.05,0.1,42
179,1777673016,7,120,10,0.05,0.1,42
180,960475355,6,120,10,0.05,0.1,42
181,288043848,6,120,10,0.05,0.1,42
182,2268872975,6,120,10,0.05,0.1,42
183,3922960702,7,120,10,0.05,0.1,42
184,3801091012,5,120,10,0.05,0.1,42
185,2250989256,5,120,10,0.05,0.1,42
186,1764707868,4,120,10,0.05,0.1,42
187,2315080368,7,120,10,0.05,0.1,42
